"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,0,100,0,1,6528,148,6353,138,1.00353e+07,26.6159,26.4783,1695,6352
1,0,100,0,1,6528,148,6444,142,1.00375e+07,28.3662,28.1056,1729,6443
2,0,100,0,1,6528,148,6469,148,1.00354e+07,26.7095,26.5541,1684,6468
3,0,100,0,1,6528,148,6356,142,1.00354e+07,26.6761,26.5915,1689,6355
4,0,100,0,1,6528,148,6315,138,1.00353e+07,26.6377,26.5507,1687,6314
5,0,100,0,1,6528,148,6382,140,1.00349e+07,26.6071,26.4214,1721,6381
6,0,100,0,1,6528,148,6398,146,1.0035e+07,26.6438,26.3699,1713,6397
7,0,100,0,1,6528,148,6380,134,1.00369e+07,28.0299,27.9552,1699,6379
8,0,100,0,1,6528,148,6346,138,1.0035e+07,26.6449,26.529,1713,6345
9,0,100,0,1,6528,148,6370,146,1.0035e+07,26.6644,26.4521,1697,6369
10,0,100,0,1,6528,148,6351,138,1.00356e+07,26.6232,26.5072,1671,6350
11,0,100,0,1,6528,148,6391,144,1.00348e+07,26.6111,26.2986,1698,6390
12,0,100,0,1,6528,148,6386,146,1.00353e+07,26.6712,26.4863,1689,6385
