"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,1,100,0,1,6528,148,6528,148,400886,29.5203,393.405,1671,6528
1,1,100,0,1,6528,148,6528,148,327243,27.9459,319.486,1670,6528
2,1,100,0,1,6528,148,6517,148,395980,29.8108,391.736,1670,6517
3,1,100,0,1,6528,148,6528,148,380416,29.7905,373.068,1666,6528
4,1,100,0,1,6528,148,6528,148,381449,29.4392,375.196,1682,6528
5,1,100,0,1,6528,148,6528,148,389643,28.6959,393.743,1698,6528
6,1,100,0,1,6528,148,6528,148,491618,34,484.534,1693,6528
7,1,100,0,1,6528,148,6495,147,344904,27.8844,345.299,1656,6495
8,1,100,0,1,6528,148,6528,148,413770,29.4797,405.392,1681,6528
9,1,100,0,1,6528,148,6528,148,384943,28.9257,378.696,1698,6528
