"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,1,100,100,1,6528,148,6528,148,387259,29.0608,378.095,1684,6528
1,1,100,100,1,6528,148,6528,148,377647,31.2162,389.662,1679,6528
2,1,100,100,1,6528,148,6528,148,484057,32.6554,479.743,1691,6528
3,1,100,100,1,6528,148,6528,148,351763,27.723,347.095,1668,6528
4,1,100,100,1,6528,148,6528,148,361559,27.7568,361.845,1654,6528
5,1,100,100,1,6528,148,6528,148,375161,27.6149,375.446,1649,6528
6,1,100,100,1,6528,148,6528,148,360921,28.3986,359.135,1690,6528
7,1,100,100,1,6528,148,6528,148,416488,31.1081,408.547,1670,6528
8,1,100,100,1,6528,148,6528,148,425722,29.2432,417.095,1679,6528
9,1,100,100,1,6528,148,6528,148,363172,28.027,366.932,1674,6528
10,1,100,100,1,6528,148,6528,148,425828,30.6216,416.98,1685,6528
11,1,100,100,1,6528,148,6528,148,394511,29.4324,386.216,1674,6528
12,1,100,100,1,6528,148,6528,148,359776,28.3919,363,1664,6528
13,1,100,100,1,6528,148,6528,148,355355,27.8446,351.655,1654,6528
14,1,100,100,1,6528,148,6520,148,437827,30.2432,430.25,1670,6520
15,1,100,100,1,6528,148,6528,148,381245,28.3716,377.007,1638,6528
16,1,100,100,1,6528,148,6528,148,375969,28.1959,369.034,1673,6528
17,1,100,100,1,6528,148,6528,148,379023,29.7027,380.743,1690,6528
18,1,100,100,1,6528,148,6528,148,389652,28.7432,389.568,1670,6528
19,1,100,100,1,6528,148,6528,148,349164,27.7365,344.378,1653,6528
