"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,0,300,0,1,6528,148,6528,148,1.00144e+07,9.33784,9.25676,927,6527
1,0,300,0,1,6528,148,6528,148,1.00132e+07,9.34459,8.97297,857,6527
2,0,300,0,1,6528,148,6528,148,1.00136e+07,9.49324,9.06757,1019,6527
3,0,300,0,1,6528,148,6528,148,1.00142e+07,9.31081,9.28378,926,6527
4,0,300,0,1,6528,148,6528,148,1.00136e+07,9.43243,9.04054,963,6527
5,0,300,0,1,6528,148,6528,148,1.00139e+07,9.33108,9.23649,936,6527
6,0,300,0,1,6528,148,6528,148,1.00139e+07,9.30405,9.23649,942,6527
7,0,300,0,1,6528,148,6527,148,1.00144e+07,9.36486,9.20946,928,6526
8,0,300,0,1,6528,148,6506,148,1.00132e+07,9.31081,8.98649,837,6505
9,0,300,0,1,6528,148,6528,148,1.00138e+07,9.39189,9.17568,923,6527
10,0,300,0,1,6528,148,6528,148,1.00136e+07,9.27703,9.24324,888,6527
11,0,300,0,1,6528,148,6449,148,1.00139e+07,9.25,9.14865,767,6448
12,0,300,0,1,6528,148,6527,148,1.00146e+07,9.31757,9.33108,995,6526
13,0,300,0,1,6528,148,6527,148,1.00142e+07,9.34459,9.25676,872,6526
14,0,300,0,1,6528,148,6528,148,1.00136e+07,9.43243,9.06757,916,6527
15,0,300,0,1,6528,148,6528,148,1.00138e+07,9.30405,9.20946,887,6527
16,0,300,0,1,6528,148,6528,148,1.00144e+07,9.32432,9.12838,966,6527
