"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,0,300,0,1,6528,148,6451,147,1.00142e+07,9.47619,9.2517,789,6450
1,0,300,0,1,6528,148,6522,148,1.0014e+07,9.27027,9.27703,909,6521
2,0,300,0,1,6528,148,6528,148,1.00137e+07,9.32432,9.12838,933,6527
3,0,300,0,1,6528,148,6526,148,1.00138e+07,9.25,9.10811,917,6525
4,0,300,0,1,6528,148,6528,148,1.00136e+07,9.25676,9.07432,863,6527
5,0,300,0,1,6528,148,6525,148,1.00137e+07,9.32432,9.11486,920,6524
6,0,300,0,1,6528,148,6528,148,1.00136e+07,9.30405,8.93919,851,6527
7,0,300,0,1,6528,148,6528,148,1.00133e+07,9.31081,8.91216,955,6527
8,0,300,0,1,6528,148,6527,148,1.00139e+07,9.23649,8.99324,978,6526
9,0,300,0,1,6528,148,6526,148,1.00149e+07,9.47297,9.45946,800,6525
10,0,300,0,1,6528,148,6528,148,1.00147e+07,9.5473,9.44595,849,6527
11,0,300,0,1,6528,148,6528,148,1.00141e+07,9.27027,9.29054,906,6527
12,0,300,0,1,6528,148,6527,148,1.00145e+07,9.50676,9.51351,903,6526
13,0,300,0,1,6528,148,6527,148,1.00139e+07,9.33108,9.25676,1016,6526
14,0,300,0,1,6528,148,6528,148,1.00154e+07,9.47297,9.69595,897,6527
15,0,300,0,1,6528,148,6505,148,1.00144e+07,9.27703,9.47297,886,6504
16,0,300,0,1,6528,148,6526,148,1.00132e+07,9.2027,8.73649,838,6525
