"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,0,500,0,1,6528,148,3387,66,1.00196e+07,11,15.4848,250,3386
1,0,500,0,1,6528,148,2014,36,1.00063e+07,5.44444,4.44444,145,2013
2,0,500,0,1,6528,148,2012,36,1.00063e+07,5.44444,4.44444,141,2011
3,0,500,0,1,6528,148,2008,36,1.00063e+07,5.44444,4.44444,127,2007
4,0,500,0,1,6528,148,2010,36,1.00063e+07,5.44444,4.44444,133,2009
5,0,500,0,1,6528,148,2010,36,1.00063e+07,5.44444,4.44444,131,2009
6,0,500,0,1,6528,148,2008,36,1.00063e+07,5.44444,4.44444,123,2007
7,0,500,0,1,6528,148,2008,36,1.00063e+07,5.44444,4.44444,131,2007
8,0,500,0,1,6528,148,2016,36,1.00063e+07,5.44444,4.44444,161,2015
9,0,500,0,1,6528,148,2000,36,1.00063e+07,5.44444,4.44444,149,1999
10,0,500,0,1,6528,148,2008,36,1.00063e+07,5.44444,4.44444,130,2007
11,0,500,0,1,6528,148,2014,36,1.00063e+07,5.44444,4.44444,137,2013
12,0,500,0,1,6528,148,2016,36,1.00063e+07,5.44444,4.44444,136,2015
13,0,500,0,1,6528,148,2008,36,1.00063e+07,5.44444,4.44444,121,2007
