"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
2,1,700,700,1,6528,148,6528,148,53307.2,6.83784,42.6419,468,6527
3,1,700,700,1,6528,148,6528,148,49881.7,6.26351,41.0946,484,6527
4,1,700,700,1,6528,148,6528,148,47183.9,5.63514,37.8716,489,6527
5,1,700,700,1,6528,148,6528,148,46561.5,6.83108,37.0135,460,6527
6,1,700,700,1,6528,148,6528,148,49678,6.57432,40.4932,487,6527
7,1,700,700,1,6528,148,6528,148,52848,6.5,43.1959,471,6527
8,1,700,700,1,6528,148,6528,148,55341.2,6.85135,45.5811,498,6527
9,1,700,700,1,6528,148,6528,148,49340,7.33784,39.6419,438,6527
10,1,700,700,1,6528,148,6528,148,56049.3,7.20946,44.1216,499,6527
11,1,700,700,1,6528,148,6527,148,49968.4,7.08784,41.2095,467,6526
12,1,700,700,1,6528,148,6528,148,47973.1,6.33108,39.2095,466,6527
13,1,700,700,1,6528,148,6528,148,37342.6,6.14865,29.3041,534,6527
14,1,700,700,1,6528,148,6521,148,54786.8,6.57432,46.2703,461,6520
15,1,700,700,1,6528,148,6528,148,55197.9,6.85811,43.4595,462,6527
16,1,700,700,1,6528,148,6513,148,54312.5,6.47297,43.8378,496,6512
17,1,700,700,1,6528,148,6528,148,50814.8,6.85135,40.3649,480,6527
