"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,700,700,1,6528,148,6528,148,56707.1,7.47297,47.5946,457,6527
2,1,700,700,1,6528,148,6528,148,62963.8,6.44595,51.5,491,6527
3,1,700,700,1,6528,148,6528,148,59417.8,6.46622,49.8784,498,6527
4,1,700,700,1,6528,148,6528,148,50757,6.82432,40.8311,466,6527
5,1,700,700,1,6528,148,6528,148,55667.2,6.66892,45.1824,480,6527
6,1,700,700,1,6528,148,6528,148,59909.7,7.39189,47.1216,437,6527
7,1,700,700,1,6528,148,6528,148,53647,6.37162,44.1622,442,6527
8,1,700,700,1,6528,148,6528,148,42521.3,6.80405,32.6554,487,6527
9,1,700,700,1,6528,148,6528,148,46949.1,6.76351,36.0068,463,6527
10,1,700,700,1,6528,148,6524,148,52663.3,7.43243,42.3243,486,6523
11,1,700,700,1,6528,148,6528,148,58567.7,7.71622,48.4527,461,6527
12,1,700,700,1,6528,148,6528,148,45464.7,6.49324,36.9122,463,6527
13,1,700,700,1,6528,148,6528,148,54365.8,7.37162,43.9054,441,6527
14,1,700,700,1,6528,148,6528,148,51377.6,6.20946,41.277,456,6527
15,1,700,700,1,6528,148,6528,148,53572.4,6.17568,43.7297,474,6527
16,1,700,700,1,6528,148,6528,148,48438.9,6.43919,38.3243,507,6527
