"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,100,700,0,6528,148,6382,141,6.61112e+06,36.2624,6597.65,1762,6381
2,1,100,700,0,6528,148,6455,146,6.35596e+06,36.1849,6342.55,1791,6454
3,1,100,700,0,6528,148,6424,148,7.27727e+06,35.3311,7264.19,1772,6423
4,1,100,700,0,6528,148,6413,143,6.40958e+06,36.1189,6396.19,1779,6412
5,1,100,700,0,6528,148,6385,146,7.32956e+06,36.3082,7315.88,1740,6384
6,1,100,700,0,6528,148,6455,146,6.16839e+06,35.9863,6154.98,1774,6454
7,1,100,700,0,6528,148,6442,146,6.21331e+06,36.3562,6199.82,1771,6441
8,1,100,700,0,6528,148,6352,146,6.62522e+06,36.637,6611.55,1735,6351
9,1,100,700,0,6528,148,18,0,0,-nan,-nan,2,17
10,1,100,700,0,6528,148,6355,135,6.08142e+06,36.4667,6067.92,1731,6354
11,1,100,700,0,6528,148,6430,148,7.20918e+06,38.3311,7194.94,1764,6429
12,1,100,700,0,6528,148,6434,141,6.77167e+06,35.5532,6758.5,1756,6433
13,1,100,700,0,6528,148,6376,141,6.71306e+06,35.8085,6699.87,1746,6375
14,1,100,700,0,6528,148,6469,145,7.21316e+06,36.2276,7199.69,1804,6468
15,1,100,700,0,6528,148,6371,142,7.01498e+06,36.4366,7001.56,1739,6370
16,1,100,700,0,6528,148,6374,145,6.34717e+06,35.5103,6334.07,1755,6373
17,1,100,700,0,6528,148,6464,146,6.75071e+06,35.6233,6737.5,1789,6463
18,1,100,700,0,6528,148,6411,148,6.9853e+06,37.7095,6971.24,1753,6410
19,1,100,700,0,6528,148,6447,148,6.82131e+06,37.0811,6807.61,1786,6446
20,1,100,700,0,6528,148,6462,145,7.27991e+06,36.5379,7266.39,1788,6461
21,1,100,700,0,6528,148,6453,146,7.09381e+06,36.3973,7080.41,1771,6452
22,1,100,700,0,6528,148,6432,147,7.40294e+06,35.7551,7389.71,1778,6431
23,1,100,700,0,6528,148,6430,146,6.5069e+06,35.3699,6493.84,1770,6429
24,1,100,700,0,6528,148,6412,142,7.09606e+06,36.1761,7082.74,1764,6411
25,1,100,700,0,6528,148,6424,145,7.38289e+06,35.6966,7369.62,1759,6423
26,1,100,700,0,6528,148,6451,147,6.90939e+06,35.7687,6895.79,1781,6450
27,1,100,700,0,6528,148,18,0,0,-nan,-nan,2,17
28,1,100,700,0,6528,148,6424,144,6.79465e+06,36.0764,6781.33,1755,6423
29,1,100,700,0,6528,148,18,0,0,-nan,-nan,2,17
30,1,100,700,0,6528,148,6403,142,6.0282e+06,36.1479,6014.87,1745,6402
31,1,100,700,0,6528,148,6350,146,6.77793e+06,38.137,6763.7,1738,6349
32,1,100,700,0,6528,148,6409,144,6.34001e+06,38.1042,6325.86,1757,6408
33,1,100,700,0,6528,148,18,0,0,-nan,-nan,2,17
34,1,100,700,0,6528,148,6450,145,6.12739e+06,36.4276,6113.86,1766,6449
35,1,100,700,0,6528,148,6401,138,7.08107e+06,36.5145,7067.29,1744,6400
36,1,100,700,0,6528,148,6400,139,7.44784e+06,34.964,7434.96,1742,6399
37,1,100,700,0,6528,148,6392,146,6.88333e+06,36.1438,6869.92,1739,6391
38,1,100,700,0,6528,148,6431,143,6.90393e+06,35.3007,6890.93,1760,6430
39,1,100,700,0,6528,148,6419,142,6.64733e+06,36.6127,6633.82,1765,6418
40,1,100,700,0,6528,148,6442,146,7.13376e+06,37.8904,7119.75,1768,6441
