"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,300,700,0,6528,148,6528,148,330388,13.0203,325.561,417,6527
2,1,300,700,0,6528,148,6528,148,525360,13.6824,520.223,414,6527
3,1,300,700,0,6528,148,6528,148,393539,14.2095,387.764,419,6527
4,1,300,700,0,6528,148,6528,148,387780,12.6892,382.885,415,6527
5,1,300,700,0,6528,148,6528,148,530654,14.0203,525.034,425,6527
6,1,300,700,0,6528,148,6528,148,428208,13.2905,422.878,425,6527
7,1,300,700,0,6528,148,6528,148,434239,14.3514,428.682,425,6527
8,1,300,700,0,6528,148,6528,148,358780,13.027,353.791,424,6527
9,1,300,700,0,6528,148,6528,148,346001,13.7568,340.736,416,6527
10,1,300,700,0,6528,148,6528,148,329364,15.2973,323.608,408,6527
11,1,300,700,0,6528,148,6528,148,427288,14.6351,421.682,413,6527
12,1,300,700,0,6528,148,6528,148,395649,15.0338,390,423,6527
13,1,300,700,0,6528,148,6528,148,333980,13.4189,328.399,413,6527
14,1,300,700,0,6528,148,6528,148,420551,13.8581,415.176,417,6527
15,1,300,700,0,6528,148,6528,148,378098,13.5541,372.926,411,6527
16,1,300,700,0,6528,148,6528,148,366294,14.0068,360.649,432,6527
17,1,300,700,0,6528,148,6528,148,330880,14.1757,325.162,415,6527
18,1,300,700,0,6528,148,6528,148,437450,15.4932,431.385,422,6527
19,1,300,700,0,6528,148,6528,148,368700,15.8108,362.554,414,6527
20,1,300,700,0,6528,148,6528,148,394839,16.5068,388.527,418,6527
21,1,300,700,0,6528,148,6528,148,450955,15.5743,445.007,430,6527
22,1,300,700,0,6528,148,6528,148,392640,13.8581,387.236,405,6527
23,1,300,700,0,6528,148,6528,148,350540,14.0338,345.331,424,6527
24,1,300,700,0,6528,148,6528,148,364432,15.8041,358.541,413,6527
25,1,300,700,0,6528,148,6528,148,453226,13.8919,447.595,423,6527
26,1,300,700,0,6528,148,6528,148,335109,12.6622,330.209,422,6527
27,1,300,700,0,6528,148,54,0,0,-nan,-nan,2,53
28,1,300,700,0,6528,148,6528,148,508253,13.6959,502.973,419,6527
29,1,300,700,0,6528,148,6528,148,445966,12.973,440.878,420,6527
30,1,300,700,0,6528,148,6528,148,358251,14.9865,352.453,422,6527
31,1,300,700,0,6528,148,6528,148,348586,14.3919,343.054,410,6527
32,1,300,700,0,6528,148,6528,148,460717,14.0608,455.378,420,6527
33,1,300,700,0,6528,148,54,0,0,-nan,-nan,2,53
34,1,300,700,0,6528,148,6528,148,278917,13.9527,273.473,413,6527
35,1,300,700,0,6528,148,6528,148,402533,15.0541,396.743,425,6527
36,1,300,700,0,6528,148,6528,148,435934,13.6351,430.791,415,6527
37,1,300,700,0,6528,148,6528,148,365535,15.0608,359.635,419,6527
38,1,300,700,0,6528,148,6528,148,486614,13.8851,481.446,426,6527
39,1,300,700,0,6528,148,6528,148,371897,14.1959,366.351,426,6527
40,1,300,700,0,6528,148,6528,148,361730,14.3378,356.25,419,6527
