"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,500,700,0,6528,148,6528,148,42221.5,7.27703,39.0068,150,6527
2,1,500,700,0,6528,148,6528,148,48840.6,7.64865,45.5203,137,6527
3,1,500,700,0,6528,148,6528,148,53033.3,7.52703,49.5608,153,6527
4,1,500,700,0,6528,148,6528,148,50327.5,7.41216,46.9459,154,6527
5,1,500,700,0,6528,148,6528,148,58306.9,7.39865,54.8716,134,6527
6,1,500,700,0,6528,148,6528,148,51825.6,7.17568,48.3446,146,6527
7,1,500,700,0,6528,148,6528,148,47142.6,7.49324,43.9122,142,6527
8,1,500,700,0,6528,148,6528,148,46471.8,8.17568,42.3649,147,6527
9,1,500,700,0,6528,148,6528,148,34176,7.02703,31.2635,142,6527
10,1,500,700,0,6528,148,6528,148,49514.6,8.88514,45.4324,149,6527
11,1,500,700,0,6528,148,6528,148,57443.7,6.93243,54.6419,146,6527
12,1,500,700,0,6528,148,6528,148,45461.2,7.70946,41.7027,141,6527
13,1,500,700,0,6528,148,6528,148,55621.6,7.99324,52.3581,142,6527
14,1,500,700,0,6528,148,6528,148,48715.7,7.02027,45.6757,151,6527
15,1,500,700,0,6528,148,6528,148,46994.1,8.12162,43.5473,154,6527
16,1,500,700,0,6528,148,6528,148,50582.8,7.33784,47.5405,149,6527
17,1,500,700,0,6528,148,6528,148,45121.6,8.12162,41.1689,151,6527
18,1,500,700,0,6528,148,6528,148,39966.6,7.10811,36.0068,153,6527
19,1,500,700,0,6528,148,6528,148,54003.8,7.91892,50.6892,157,6527
20,1,500,700,0,6528,148,6528,148,51765.6,8.15541,48.3311,147,6527
21,1,500,700,0,6528,148,6528,148,55695.3,7.98649,52.223,143,6527
22,1,500,700,0,6528,148,6528,148,53107.7,7.27027,49.9527,142,6527
23,1,500,700,0,6528,148,6528,148,38157.7,7.89865,34.6824,150,6527
24,1,500,700,0,6528,148,6528,148,43175.7,7.34459,39.5473,142,6527
25,1,500,700,0,6528,148,6528,148,54200.5,7.31081,50.9392,146,6527
26,1,500,700,0,6528,148,6528,148,54166,6.94595,50.973,145,6527
27,1,500,700,0,6528,148,6528,148,59993.3,8.89189,56.1622,153,6527
28,1,500,700,0,6528,148,6528,148,43308.8,7.81081,39.7973,141,6527
29,1,500,700,0,6528,148,6528,148,48098.1,7.58108,44.2635,148,6527
30,1,500,700,0,6528,148,6528,148,44213,7.43243,40.8581,155,6527
31,1,500,700,0,6528,148,6528,148,53491.1,7.21622,50.777,141,6527
32,1,500,700,0,6528,148,6528,148,63493.9,8.11486,60.277,147,6527
33,1,500,700,0,6528,148,6528,148,39797.1,8.04054,35.8446,142,6527
34,1,500,700,0,6528,148,6528,148,38490.1,9.83784,34.3108,150,6527
35,1,500,700,0,6528,148,6528,148,60115.6,7.13514,57.3311,151,6527
36,1,500,700,0,6528,148,6528,148,56302.6,8.37162,52.6554,150,6527
37,1,500,700,0,6528,148,6528,148,41247.5,6.94595,38.2297,142,6527
38,1,500,700,0,6528,148,6528,148,70206.2,7.57432,67.0068,154,6527
39,1,500,700,0,6528,148,6528,148,46596.1,8.12162,42.2568,149,6527
40,1,500,700,0,6528,148,6528,148,45961.1,7.81757,42.4122,138,6527
