"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,700,100,0,6528,148,6528,148,11136.9,4.50676,5.97973,573,6527
2,1,700,100,0,6528,148,6528,148,11431.2,4.94595,7.29054,583,6527
3,1,700,100,0,6528,148,6528,148,12107.1,5.18243,6.7973,630,6527
4,1,700,100,0,6528,148,6528,148,11631.6,4.9527,6.97297,471,6527
5,1,700,100,0,6528,148,6528,148,10609.3,4.76351,6.26351,538,6527
6,1,700,100,0,6528,148,6528,148,11483,4.45946,6.5473,658,6527
7,1,700,100,0,6528,148,6528,148,12097.7,4.81081,7.76351,576,6527
8,1,700,100,0,6528,148,6528,148,10383.4,4.65541,5.37838,530,6527
9,1,700,100,0,6528,148,6528,148,12635.7,4.72297,6.88514,560,6527
10,1,700,100,0,6528,148,6528,148,12316.4,4.84459,6.56757,649,6527
11,1,700,100,0,6528,148,6528,148,14108.2,4.88514,7.05405,657,6527
12,1,700,100,0,6528,148,6528,148,12990.8,5.09459,7.33108,706,6527
13,1,700,100,0,6528,148,6528,148,11965.5,4.99324,7.68243,564,6527
14,1,700,100,0,6528,148,6528,148,11951.8,5.11486,7.05405,582,6527
15,1,700,100,0,6528,148,6528,148,9247.4,4.76351,5.38514,606,6527
16,1,700,100,0,6528,148,6528,148,12877.3,4.62162,8.31081,738,6527
17,1,700,100,0,6528,148,6528,148,11385,5.24324,7.2973,716,6527
18,1,700,100,0,6528,148,6528,148,11444.4,4.34459,6.06081,585,6527
19,1,700,100,0,6528,148,6528,148,13436.7,4.78378,7.93243,725,6527
20,1,700,100,0,6528,148,6528,148,12029.1,5.25676,7.22973,610,6527
21,1,700,100,0,6528,148,6528,148,12915.1,5.66216,8.05405,608,6527
22,1,700,100,0,6528,148,6528,148,11799.8,4.99324,6.75676,632,6527
23,1,700,100,0,6528,148,6528,148,15027.5,5.18243,9.43919,726,6527
24,1,700,100,0,6528,148,6528,148,11557.1,4.42568,6.38514,527,6527
25,1,700,100,0,6528,148,6528,148,11394.3,4.91892,7.07432,554,6527
26,1,700,100,0,6528,148,6528,148,11633.1,4.63514,6.33784,688,6527
27,1,700,100,0,6528,148,6528,148,9613.36,4.4527,4.91216,567,6527
28,1,700,100,0,6528,148,6528,148,13409.7,4.99324,8.52703,662,6527
29,1,700,100,0,6528,148,6528,148,11248.1,5.51351,5.08784,550,6527
30,1,700,100,0,6528,148,6528,148,12209,4.48649,6.9527,581,6527
31,1,700,100,0,6528,148,6528,148,11328.1,4.39189,6.53378,524,6527
32,1,700,100,0,6528,148,6528,148,12495,4.55405,7.90541,607,6527
33,1,700,100,0,6528,148,6528,148,11544,4.68919,6.84459,595,6527
34,1,700,100,0,6528,148,6528,148,13093.2,5.82432,7.54054,656,6527
35,1,700,100,0,6528,148,6528,148,12243.4,4.75676,6.19595,614,6527
36,1,700,100,0,6528,148,6528,148,11455.7,4.56757,7.65541,537,6527
37,1,700,100,0,6528,148,6528,148,12347.9,5.27027,7.76351,635,6527
38,1,700,100,0,6528,148,6528,148,13092.5,4.60811,6.18919,661,6527
39,1,700,100,0,6528,148,6528,148,14068.8,5.89865,8.08784,558,6527
40,1,700,100,0,6528,148,6528,148,13051.8,5.34459,8.06757,617,6527
