"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,700,500,0,6528,148,6528,148,9340.45,4.73649,5.71622,338,6527
2,1,700,500,0,6528,148,6528,148,9948.45,4.75676,6.35811,365,6527
3,1,700,500,0,6528,148,6528,148,9308.32,4.39189,5.12162,357,6527
4,1,700,500,0,6528,148,6528,148,10001.8,4.58108,6.20946,357,6527
5,1,700,500,0,6528,148,6528,148,9944.39,4.7027,6.30405,406,6527
6,1,700,500,0,6528,148,6528,148,8768.36,4.79054,4.84459,383,6527
7,1,700,500,0,6528,148,6528,148,10445.9,5.08108,6.52027,402,6527
8,1,700,500,0,6528,148,6528,148,9977.05,4.72297,5.79054,439,6527
9,1,700,500,0,6528,148,6528,148,11545.1,4.83784,7.50676,410,6527
10,1,700,500,0,6528,148,6528,148,12329.4,4.81757,7.17568,341,6527
11,1,700,500,0,6528,148,6528,148,9582.36,4.72973,6.17568,365,6527
12,1,700,500,0,6528,148,6528,148,10591.7,4.80405,6.85135,345,6527
13,1,700,500,0,6528,148,6528,148,11321.6,5.25676,6.89189,306,6527
14,1,700,500,0,6528,148,6528,148,10281.2,4.69595,6.39865,384,6527
15,1,700,500,0,6528,148,6528,148,9639.07,4.7973,6.25,337,6527
16,1,700,500,0,6528,148,6528,148,11328.1,4.33784,6.80405,393,6527
17,1,700,500,0,6528,148,6528,148,11971.6,4.71622,7.21622,375,6527
18,1,700,500,0,6528,148,6528,148,11235.2,4.97297,6.9527,411,6527
19,1,700,500,0,6528,148,6528,148,10237.2,5.37162,5.39865,429,6527
20,1,700,500,0,6528,148,6528,148,10815.9,4.67568,6.58784,369,6527
21,1,700,500,0,6528,148,6528,148,10063.5,4.54054,5.82432,414,6527
22,1,700,500,0,6528,148,6528,148,10252,4.99324,5.85811,401,6527
23,1,700,500,0,6528,148,6528,148,11316.5,4.56081,6.94595,381,6527
24,1,700,500,0,6528,148,6528,148,12420.4,4.7973,6.11486,378,6527
25,1,700,500,0,6528,148,6528,148,10997.3,4.39865,6.47297,370,6527
26,1,700,500,0,6528,148,6528,148,8170.32,4.17568,4.16892,381,6527
27,1,700,500,0,6528,148,6528,148,8485.52,4.47973,4.7973,367,6527
28,1,700,500,0,6528,148,6528,148,14238.6,4.83108,9.58784,424,6527
29,1,700,500,0,6528,148,6528,148,11221.4,4.98649,6.56757,377,6527
30,1,700,500,0,6528,148,6528,148,9758.76,4.7027,6.4527,350,6527
31,1,700,500,0,6528,148,6528,148,11922.2,4.67568,7.09459,440,6527
32,1,700,500,0,6528,148,6528,148,10315.9,4.81081,5.77027,333,6527
33,1,700,500,0,6528,148,6528,148,8292.62,4.39865,4.79054,343,6527
34,1,700,500,0,6528,148,6528,148,11300.7,4.41892,6.98649,412,6527
35,1,700,500,0,6528,148,6528,148,11017.1,4.43243,7.40541,373,6527
36,1,700,500,0,6528,148,6528,148,10366.2,4.97297,7.06081,309,6527
37,1,700,500,0,6528,148,6528,148,12191.6,4.35135,8.14189,409,6527
38,1,700,500,0,6528,148,6528,148,10634,5.21622,6.27027,349,6527
39,1,700,500,0,6528,148,6528,148,13500.7,4.76351,8.10135,377,6527
40,1,700,500,0,6528,148,6528,148,11263.6,5.03378,7.34459,313,6527
