"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,700,700,0,6528,148,6528,148,10965.3,4.63514,7.06757,119,6527
2,1,700,700,0,6528,148,6528,148,11485.9,4.46622,8.23649,105,6527
3,1,700,700,0,6528,148,6528,148,10137,4.40541,5.70946,109,6527
4,1,700,700,0,6528,148,6528,148,11379.7,4.77027,7.02703,130,6527
5,1,700,700,0,6528,148,6528,148,11633.7,4.82432,7.69595,130,6527
6,1,700,700,0,6528,148,6528,148,11829.1,4.63514,9.06081,130,6527
7,1,700,700,0,6528,148,6528,148,8834.93,4.24324,5.58108,121,6527
8,1,700,700,0,6528,148,6528,148,11068,4.79054,6.77703,119,6527
9,1,700,700,0,6528,148,6528,148,10769.7,4.47973,6.90541,144,6527
10,1,700,700,0,6528,148,6528,148,9519.45,4.23649,6.10135,121,6527
11,1,700,700,0,6528,148,6528,148,8886.16,4.27703,6.16892,106,6527
12,1,700,700,0,6528,148,6528,148,12643.1,4.87162,9.52027,125,6527
13,1,700,700,0,6528,148,6528,148,12923.5,4.52703,9.41216,112,6527
14,1,700,700,0,6528,148,6528,148,9522.18,4.47297,6.10135,122,6527
15,1,700,700,0,6528,148,6528,148,12835.4,4.93919,10.3851,127,6527
16,1,700,700,0,6528,148,6528,148,8613.78,4.49324,5.69595,121,6527
17,1,700,700,0,6528,148,6528,148,8416.81,4.7973,5.49324,120,6527
18,1,700,700,0,6528,148,6528,148,10872.8,4.54054,7.95946,116,6527
19,1,700,700,0,6528,148,6528,148,8240.96,4.77027,5.80405,122,6527
20,1,700,700,0,6528,148,6528,148,10539.8,4.5,6.59459,129,6527
21,1,700,700,0,6528,148,6528,148,9593.34,4.35811,6.20946,117,6527
22,1,700,700,0,6528,148,6528,148,11872.8,4.34459,8.47973,134,6527
23,1,700,700,0,6528,148,6528,148,10747.6,4.48649,7.31081,128,6527
24,1,700,700,0,6528,148,6528,148,8568.95,4.88514,5.76351,110,6527
25,1,700,700,0,6528,148,6528,148,11704.4,4.66216,8.90541,128,6527
26,1,700,700,0,6528,148,6528,148,9268.12,4.36486,6.10135,146,6527
27,1,700,700,0,6528,148,6528,148,10495.3,4.40541,6.60135,108,6527
28,1,700,700,0,6528,148,6528,148,9886.97,4.39189,7.30405,108,6527
29,1,700,700,0,6528,148,6528,148,10720.1,4.9527,6.30405,128,6527
30,1,700,700,0,6528,148,6528,148,8855.67,4.07432,5.82432,148,6527
31,1,700,700,0,6528,148,6528,148,11144.9,4.38514,7.89189,107,6527
32,1,700,700,0,6528,148,6528,148,10335.4,4.50676,7.71622,115,6527
33,1,700,700,0,6528,148,6528,148,11411.3,4.52027,8.12838,126,6527
34,1,700,700,0,6528,148,6528,148,11550.9,4.83108,7.67568,138,6527
35,1,700,700,0,6528,148,6528,148,9147.65,4.37162,6.72973,117,6527
36,1,700,700,0,6528,148,6528,148,9122.61,4.65541,5.71622,112,6527
37,1,700,700,0,6528,148,6528,148,9279.8,4.47973,5.50676,142,6527
38,1,700,700,0,6528,148,6528,148,9363.53,4.43243,6.2027,132,6527
39,1,700,700,0,6528,148,6528,148,10829,4.60811,6.89189,100,6527
40,1,700,700,0,6528,148,6528,148,8431.59,4.49324,5.60135,119,6527
