"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,300,700,1,6528,148,6528,148,1.09958e+06,21.6149,1091.61,731,6527
2,1,300,700,1,6528,148,6528,148,875201,13.7568,870.007,733,6527
3,1,300,700,1,6528,148,6484,148,1.51173e+06,16.777,1505.54,744,6483
4,1,300,700,1,6528,148,6517,148,859795,14.2297,854.473,737,6516
5,1,300,700,1,6528,148,6506,148,1.41143e+06,14.7905,1405.97,725,6505
6,1,300,700,1,6528,148,6528,148,912114,15.2905,906.473,723,6527
7,1,300,700,1,6528,148,6528,148,1.0934e+06,16.5135,1087.3,727,6527
8,1,300,700,1,6528,148,6341,142,1.00159e+06,18.5704,994.704,712,6340
9,1,300,700,1,6528,148,6407,145,914325,16.0414,908.407,718,6406
10,1,300,700,1,6528,148,6341,144,1.03669e+06,16.7014,1030.53,717,6340
