"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,700,100,1,6528,148,6520,148,41579.5,7.91892,25.6959,1362,6519
2,1,700,100,1,6528,148,6528,148,34432.9,7.7973,20.777,1336,6527
3,1,700,100,1,6528,148,6525,148,31580.8,8.27703,21.973,1236,6524
4,1,700,100,1,6528,148,6528,148,32741.6,7.2027,20.9865,1434,6527
5,1,700,100,1,6528,148,6528,148,31572.7,7.17568,20.1216,1298,6527
6,1,700,100,1,6528,148,6520,148,30024.7,6.56757,18.4324,1392,6519
7,1,700,100,1,6528,148,6528,148,34837.5,7.49324,19.1284,1506,6527
8,1,700,100,1,6528,148,6528,148,31575.3,6.83108,20.25,1349,6527
9,1,700,100,1,6528,148,6528,148,31112.9,7.09459,17.5878,1295,6527
10,1,700,100,1,6528,148,6528,148,29497.7,7.18919,17.2635,1399,6527
11,1,700,100,1,6528,148,6528,148,24883.3,6.91892,14.9459,1307,6527
12,1,700,100,1,6528,148,6528,148,31669.8,7.47973,18.2095,1634,6527
13,1,700,100,1,6528,148,6528,148,31179.9,6.85135,19.6081,1249,6527
14,1,700,100,1,6528,148,6528,148,29726.6,6.57432,18.5743,1283,6527
15,1,700,100,1,6528,148,6513,148,31327.4,7.50676,21.027,1306,6512
16,1,700,100,1,6528,148,6528,148,27800.6,7.02703,16.6892,1527,6527
17,1,700,100,1,6528,148,6528,148,26107.9,7.39865,15.4392,1393,6527
18,1,700,100,1,6528,148,6528,148,27175,6.97973,16.7905,1378,6527
19,1,700,100,1,6528,148,6528,148,29831.7,7.24324,17.8108,1375,6527
20,1,700,100,1,6528,148,6528,148,40530.6,8.08108,23.9595,1390,6527
21,1,700,100,1,6528,148,6528,148,30615.4,6.97297,18.8581,1409,6527
22,1,700,100,1,6528,148,6528,148,27955.7,7.20946,18.1216,1408,6527
23,1,700,100,1,6528,148,6528,148,25355,7.31757,16.2635,1417,6527
24,1,700,100,1,6528,148,6528,148,35590.7,7.9527,22.9189,1302,6527
25,1,700,100,1,6528,148,6528,148,28146.8,6.73649,17.0473,1393,6527
26,1,700,100,1,6528,148,6510,148,32476.8,6.77027,18.0878,1379,6509
27,1,700,100,1,6528,148,6528,148,34319.1,7.03378,19.7973,1360,6527
28,1,700,100,1,6528,148,6528,148,27876.4,7.60811,16.5676,1237,6527
29,1,700,100,1,6528,148,6528,148,28175.8,7.60135,18.5541,1323,6527
30,1,700,100,1,6528,148,6528,148,27713.7,6.88514,15.9865,1565,6527
31,1,700,100,1,6528,148,6528,148,27827.6,6.71622,18.4189,1344,6527
32,1,700,100,1,6528,148,6524,148,32036.1,7.33784,20.1824,1270,6523
33,1,700,100,1,6528,148,6528,148,34455.3,7.68919,18.0068,1515,6527
34,1,700,100,1,6528,148,6520,148,26727.8,7.71622,16.4189,1374,6519
35,1,700,100,1,6528,148,6525,148,31462.3,7.79054,21.277,1300,6524
36,1,700,100,1,6528,148,6528,148,25975.2,6.61486,17.3041,1354,6527
37,1,700,100,1,6528,148,6528,148,33341.5,7.12838,20.277,1495,6527
38,1,700,100,1,6528,148,6528,148,30141.6,6.60811,16.9797,1364,6527
39,1,700,100,1,6528,148,6528,148,25350,6.37162,14.8446,1464,6527
40,1,700,100,1,6528,148,6528,148,36211.8,7.95946,21.75,1462,6527
