"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,700,300,1,6528,148,6528,148,25932.5,6.42568,15.75,979,6527
2,1,700,300,1,6528,148,6521,148,25879.5,7.29054,15.9595,1061,6520
3,1,700,300,1,6528,148,6528,148,31990.5,6.47973,22.2905,1034,6527
4,1,700,300,1,6528,148,6528,148,31741.2,7.38514,19.8446,1046,6527
5,1,700,300,1,6528,148,6528,148,31995,7.40541,19.4662,955,6527
6,1,700,300,1,6528,148,6528,148,34963.7,6.64865,22.8784,1085,6527
7,1,700,300,1,6528,148,6528,148,26909.7,6.5473,15.6689,926,6527
8,1,700,300,1,6528,148,6528,148,33912.4,7.89189,22.9595,1094,6527
9,1,700,300,1,6528,148,6528,148,27686.7,6.44595,15.8378,1074,6527
10,1,700,300,1,6528,148,6528,148,30026.2,8.31757,19.3581,1002,6527
11,1,700,300,1,6528,148,6528,148,29333.9,7.89865,21.2162,972,6527
12,1,700,300,1,6528,148,6525,148,29308.3,7.43243,19.5135,944,6524
13,1,700,300,1,6528,148,6528,148,30016.3,6.76351,19.6419,994,6527
14,1,700,300,1,6528,148,6528,148,25161.1,6.59459,16.3784,1038,6527
15,1,700,300,1,6528,148,6528,148,34683.2,7.87162,23.3378,1126,6527
16,1,700,300,1,6528,148,6528,148,31348.8,6.95946,17.8919,945,6527
17,1,700,300,1,6528,148,6528,148,27436,6.97297,17.3716,1167,6527
18,1,700,300,1,6528,148,6528,148,23946.3,6.9527,14.5,1044,6527
19,1,700,300,1,6528,148,6528,148,27984.1,6.49324,17.0743,951,6527
20,1,700,300,1,6528,148,6528,148,28399.5,7.87838,18.3649,1116,6527
21,1,700,300,1,6528,148,6528,148,27023.9,6.84459,18.5135,1116,6527
22,1,700,300,1,6528,148,6524,148,32062.8,6.97973,19.527,1155,6523
23,1,700,300,1,6528,148,6521,148,33174.8,6.93243,22.1622,943,6520
24,1,700,300,1,6528,148,6527,148,27731.9,6.57432,17.3851,937,6526
25,1,700,300,1,6528,148,6528,148,27668,6.67568,16.5135,1116,6527
26,1,700,300,1,6528,148,6499,148,30238.5,6.03378,17.9595,971,6498
27,1,700,300,1,6528,148,6528,148,29255.1,7.06757,16.7838,1069,6527
28,1,700,300,1,6528,148,6513,148,26737.4,7.10135,17.8514,960,6512
29,1,700,300,1,6528,148,6491,146,31235.5,7.86986,22.2534,997,6490
30,1,700,300,1,6528,148,6528,148,30467.9,7.27703,16.1757,929,6527
31,1,700,300,1,6528,148,6516,148,28376,7.09459,17.527,1148,6515
32,1,700,300,1,6528,148,6528,148,30426.3,6.75676,19.1554,973,6527
33,1,700,300,1,6528,148,6528,148,30520.9,8.07432,19.5811,1013,6527
34,1,700,300,1,6528,148,6513,147,24190.5,6.57823,15.1837,998,6512
35,1,700,300,1,6528,148,6528,148,33792.2,7.30405,21.2162,952,6527
36,1,700,300,1,6528,148,6528,148,26269.3,6.91216,16.5743,977,6527
37,1,700,300,1,6528,148,6528,148,26263.5,6.17568,16.9595,1078,6527
38,1,700,300,1,6528,148,6528,148,28480.8,6.64189,18.4797,1028,6527
39,1,700,300,1,6528,148,6528,148,24504.5,6.39189,14.2095,1015,6527
40,1,700,300,1,6528,148,6528,148,32549.1,7.10811,19.5,1170,6527
