"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,700,500,1,6528,148,6528,148,32418.6,6.75676,24.4797,610,6527
2,1,700,500,1,6528,148,6528,148,36839.5,6.75,27.5338,621,6527
3,1,700,500,1,6528,148,6528,148,32581.9,7.33108,25.1959,565,6527
4,1,700,500,1,6528,148,6528,148,30515.6,6.72973,23.6419,534,6527
5,1,700,500,1,6528,148,6525,148,31842.7,7.25,23.7432,560,6524
6,1,700,500,1,6528,148,6528,148,35594,6.63514,26.7838,617,6527
7,1,700,500,1,6528,148,6528,148,28444.1,6.03378,18.4932,559,6527
8,1,700,500,1,6528,148,6528,148,34199.2,7.14865,26.1622,649,6527
9,1,700,500,1,6528,148,6528,148,27718.2,6.69595,16.777,632,6527
10,1,700,500,1,6528,148,6528,148,32281,6.51351,23.8986,591,6527
11,1,700,500,1,6528,148,6528,148,35003.1,7.04054,26.5608,636,6527
12,1,700,500,1,6528,148,6528,148,26450.7,6.63514,17.4662,662,6527
13,1,700,500,1,6528,148,6528,148,28851.3,6.32432,20.9324,621,6527
14,1,700,500,1,6528,148,6528,148,26907,6.67568,19.277,599,6527
15,1,700,500,1,6528,148,6524,148,31221.6,7.18243,21.9662,558,6523
16,1,700,500,1,6528,148,6528,148,24907.9,7.15541,18.0203,563,6527
17,1,700,500,1,6528,148,6528,148,33617.7,6.92568,24.777,665,6527
18,1,700,500,1,6528,148,6528,148,26396.4,6.29054,18.7162,702,6527
19,1,700,500,1,6528,148,6514,148,30223.4,7.53378,21.6824,566,6513
20,1,700,500,1,6528,148,6528,148,30305.4,7.92568,22.5878,577,6527
21,1,700,500,1,6528,148,6528,148,28840.1,6.85135,20.8514,677,6527
22,1,700,500,1,6528,148,6528,148,34510.1,8.33784,27.527,595,6527
23,1,700,500,1,6528,148,6528,148,28461.8,6.5,20.9595,594,6527
24,1,700,500,1,6528,148,6528,148,37110.6,7.81081,28.1959,664,6527
25,1,700,500,1,6528,148,6521,148,42610.2,8.15541,34.2432,556,6520
26,1,700,500,1,6528,148,6520,148,33449.7,7.10135,26.1622,710,6519
27,1,700,500,1,6528,148,6528,148,28919,7.0473,20.6689,558,6527
28,1,700,500,1,6528,148,6528,148,27670.4,6.85811,19.973,574,6527
29,1,700,500,1,6528,148,6520,148,33140.3,7.2027,24.8041,590,6519
30,1,700,500,1,6528,148,6528,148,25908.1,6.28378,18.4054,627,6527
31,1,700,500,1,6528,148,6528,148,36466.5,6.53378,28.4459,595,6527
32,1,700,500,1,6528,148,6528,148,30540,6.68919,22.1757,591,6527
33,1,700,500,1,6528,148,6528,148,29678.7,6.37838,20.6149,640,6527
34,1,700,500,1,6528,148,6524,148,28872.4,7.16892,20.0743,626,6523
35,1,700,500,1,6528,148,6528,148,32638.1,7.23649,25.4932,543,6527
36,1,700,500,1,6528,148,6521,148,32553.1,6.77703,23.4865,535,6520
37,1,700,500,1,6528,148,6528,148,27686.4,6.21622,18.8041,652,6527
38,1,700,500,1,6528,148,6528,148,32410.9,5.97297,23.9527,642,6527
39,1,700,500,1,6528,148,6512,148,31250.1,7.5473,23.5,606,6511
40,1,700,500,1,6528,148,6528,148,35470.7,7.16216,25.6419,687,6527
