"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,700,700,1,6528,148,6528,148,42800.6,7.2973,37.5338,395,6527
2,1,700,700,1,6528,148,6528,148,49739.1,7.20946,44.8446,400,6527
3,1,700,700,1,6528,148,6528,148,63958.3,6.41216,59.8311,398,6527
4,1,700,700,1,6528,148,6528,148,43579.5,6.44595,38.5,390,6527
5,1,700,700,1,6528,148,6528,148,46115.3,6.18919,41.9054,414,6527
6,1,700,700,1,6528,148,6528,148,46420.9,6.25,41.6757,393,6527
7,1,700,700,1,6528,148,6528,148,55010.9,7.16892,49.8716,388,6527
8,1,700,700,1,6528,148,6528,148,44947.3,6.47973,39.0743,389,6527
9,1,700,700,1,6528,148,6528,148,40401.7,7.57432,35.973,404,6527
10,1,700,700,1,6528,148,6528,148,46374.8,7.36486,41.2027,404,6527
11,1,700,700,1,6528,148,6528,148,51803.7,7.2027,47.0608,393,6527
12,1,700,700,1,6528,148,6515,148,43841.4,7.10811,39.3581,398,6514
13,1,700,700,1,6528,148,6528,148,46887.8,7.02703,41.7432,387,6527
14,1,700,700,1,6528,148,6528,148,38958.7,6.71622,34.5946,394,6527
15,1,700,700,1,6528,148,6528,148,46327.8,6.52703,42.0203,413,6527
16,1,700,700,1,6528,148,6528,148,42875.2,6.92568,37.1149,418,6527
17,1,700,700,1,6528,148,6528,148,41788.7,6.63514,36.9932,396,6527
18,1,700,700,1,6528,148,6528,148,47367.9,7.42568,41.5068,403,6527
19,1,700,700,1,6528,148,6528,148,44992.8,7.14189,39.9054,420,6527
20,1,700,700,1,6528,148,6528,148,40316,6.97297,35.2027,396,6527
21,1,700,700,1,6528,148,6528,148,45092.8,7.52703,38.9257,394,6527
22,1,700,700,1,6528,148,6528,148,44835.8,6.64865,40.3514,394,6527
23,1,700,700,1,6528,148,6528,148,49028.3,8.39189,42.9662,395,6527
24,1,700,700,1,6528,148,6528,148,46995.8,7.18243,41.7973,399,6527
25,1,700,700,1,6528,148,6528,148,40126.1,6.7973,35.2297,380,6527
26,1,700,700,1,6528,148,6528,148,51351.6,5.9527,46.6689,409,6527
27,1,700,700,1,6528,148,6525,148,43142.8,6.54054,38.0338,397,6524
28,1,700,700,1,6528,148,6528,148,39600.3,6.77703,34.0068,387,6527
29,1,700,700,1,6528,148,6528,148,52675.8,7.17568,48.0338,395,6527
30,1,700,700,1,6528,148,6528,148,35850.7,6.87162,30.6014,404,6527
31,1,700,700,1,6528,148,6528,148,44886,6.41216,40.5,392,6527
32,1,700,700,1,6528,148,6528,148,42013.6,5.85811,37.2365,392,6527
33,1,700,700,1,6528,148,6528,148,47085.5,7.16892,40.1554,411,6527
34,1,700,700,1,6528,148,6528,148,43529.6,7.01351,38.5135,408,6527
35,1,700,700,1,6528,148,6528,148,50849.1,7.10811,45.0541,385,6527
36,1,700,700,1,6528,148,6524,148,51551,6.7973,45.8243,408,6523
37,1,700,700,1,6528,148,6528,148,44021.3,7.21622,39.0135,388,6527
38,1,700,700,1,6528,148,6528,148,52429.1,6.87162,47.1486,376,6527
39,1,700,700,1,6528,148,6528,148,55042.9,7.99324,50.5405,395,6527
40,1,700,700,1,6528,148,6528,148,44753.4,6.85811,40.5743,422,6527
