"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,0,300,0,0,6528,148,6528,148,1.00155e+07,10.4122,10.7905,754,6527
1,0,300,0,0,6528,148,6528,148,1.00167e+07,10.5203,11.0203,879,6527
2,0,300,0,0,6528,148,6528,148,1.00175e+07,9.62838,9.74324,806,6527
3,0,300,0,0,6528,148,6528,148,1.00176e+07,9.77027,10.4324,734,6527
4,0,300,0,0,6528,148,6528,148,1.00158e+07,9.83108,10.1419,933,6527
5,0,300,0,0,6528,148,6528,148,1.00151e+07,9.9527,10.0878,898,6527
6,0,300,0,0,6528,148,6528,148,1.00163e+07,10.1284,10.2905,747,6527
7,0,300,0,0,6528,148,6528,148,1.00145e+07,9.57432,9.79054,896,6527
8,0,300,0,0,6528,148,6515,148,1.00147e+07,9.87162,10.027,734,6514
9,0,300,0,0,6528,148,6520,148,1.00138e+07,9.80405,9.89865,740,6519
10,0,300,0,0,6528,148,6528,148,1.00162e+07,10.6284,11.0676,806,6527
11,0,300,0,0,6528,148,6528,148,1.00165e+07,10.4932,10.5338,836,6527
12,0,300,0,0,6528,148,6528,148,1.00153e+07,10.0878,10.0811,824,6527
13,0,300,0,0,6528,148,6528,148,1.00174e+07,10.2027,10.6284,886,6527
