"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,1,100,100,1,6528,148,6528,148,411275,30.8514,402.486,1675,6528
1,1,100,100,1,6528,148,6528,148,373188,28.8649,364.858,1666,6528
2,1,100,100,1,6528,148,6528,148,387514,28.4189,382.716,1672,6528
3,1,100,100,1,6528,148,6473,147,382095,29.102,377.959,1656,6473
4,1,100,100,1,6528,148,6528,148,373267,28.1081,367.392,1678,6528
5,1,100,100,1,6528,148,6528,148,382295,29.9324,392.75,1664,6528
6,1,100,100,1,6528,148,6528,148,369347,29.3446,362.162,1663,6528
7,1,100,100,1,6528,148,6528,148,375024,27.6486,369.27,1676,6528
8,1,100,100,1,6528,148,6528,148,341485,27.75,353.358,1667,6528
9,1,100,100,1,6528,148,6528,148,392409,28.8919,391.378,1688,6528
10,1,100,100,1,6528,148,6528,148,365667,27.3446,361.095,1678,6528
11,1,100,100,1,6528,148,6528,148,341627,28.2703,336.385,1678,6528
12,1,100,100,1,6528,148,6528,148,350005,28.9527,351.412,1688,6528
13,1,100,100,1,6528,148,6487,145,379368,29.1103,371.966,1667,6487
14,1,100,100,1,6528,148,6528,148,364750,27.6284,360.291,1671,6528
15,1,100,100,1,6528,148,6528,148,351906,28.5608,345.959,1651,6528
16,1,100,100,1,6528,148,6512,148,419069,29.3649,411.98,1675,6512
17,1,100,100,1,6528,148,6517,148,390935,27.8311,390.209,1694,6517
18,1,100,100,1,6528,148,6528,148,355597,27.75,348.027,1663,6528
19,1,100,100,1,6528,148,6528,148,357043,28.4932,353.946,1700,6528
