"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
2,1,500,0,0,150,3,150,3,2.59938e+06,148,2544.67,150,149
3,1,500,0,0,150,3,150,3,2.55671e+06,148,2502,150,149
4,1,500,0,0,150,3,150,3,2.51371e+06,148,2459,150,149
5,1,500,0,0,150,3,150,3,2.69538e+06,148,2640.67,150,149
6,1,500,0,0,150,3,150,3,2.49038e+06,148,2435.67,150,149
7,1,500,0,0,150,3,150,3,2.56138e+06,148,2506.67,150,149
8,1,500,0,0,150,3,150,3,2.38571e+06,148,2331,150,149
9,1,500,0,0,150,3,150,3,2.45771e+06,148,2403,150,149
10,1,500,0,0,150,3,150,3,2.44338e+06,148,2388.67,150,149
11,1,500,0,0,150,3,150,3,2.50838e+06,148,2453.67,150,149
12,1,500,0,0,150,3,150,3,2.49804e+06,148,2443.33,150,149
13,1,500,0,0,150,3,150,3,2.40871e+06,148,2354,150,149
14,1,500,0,0,150,3,150,3,2.41538e+06,148,2360.67,150,149
15,1,500,0,0,150,3,150,3,2.53504e+06,148,2480.33,150,149
16,1,500,0,0,150,3,150,3,2.33971e+06,148,2285,150,149
17,1,500,0,0,150,3,150,3,2.50638e+06,148,2451.67,150,149
18,1,500,0,0,150,3,150,3,2.28771e+06,148,2233,150,149
19,1,500,0,0,150,3,150,3,2.49871e+06,148,2444,150,149
20,1,500,0,0,150,3,150,3,2.55571e+06,148,2501,150,149
21,1,500,0,0,150,3,150,3,2.54271e+06,148,2488,150,149
22,1,500,0,0,150,3,150,3,2.63704e+06,148,2582.33,150,149
23,1,500,0,0,150,3,150,3,2.46804e+06,148,2413.33,150,149
24,1,500,0,0,150,3,150,3,2.36504e+06,148,2310.33,150,149
25,1,500,0,0,150,3,150,3,2.52904e+06,148,2474.33,150,149
26,1,500,0,0,150,3,150,3,2.47771e+06,148,2423,150,149
27,1,500,0,0,150,3,150,3,2.67771e+06,148,2623,150,149
28,1,500,0,0,150,3,150,3,2.41871e+06,148,2364,150,149
29,1,500,0,0,150,3,150,3,2.47371e+06,148,2419,150,149
30,1,500,0,0,150,3,150,3,2.34438e+06,148,2289.67,150,149
31,1,500,0,0,150,3,150,3,2.50804e+06,148,2453.33,150,149
32,1,500,0,0,150,3,150,3,2.63571e+06,148,2581,150,149
33,1,500,0,0,150,3,150,3,2.59938e+06,148,2544.67,150,149
34,1,500,0,0,150,3,150,3,2.66138e+06,148,2606.67,150,149
35,1,500,0,0,150,3,150,3,2.49671e+06,148,2442,150,149
36,1,500,0,0,150,3,150,3,2.55904e+06,148,2504.33,150,149
37,1,500,0,0,150,3,150,3,2.57938e+06,148,2524.67,150,149
38,1,500,0,0,150,3,150,3,2.61871e+06,148,2564,150,149
39,1,500,0,0,150,3,150,3,2.41371e+06,148,2359,150,149
40,1,500,0,0,150,3,150,3,2.45038e+06,148,2395.67,150,149
41,1,500,0,0,150,3,150,3,2.54471e+06,148,2490,150,149
42,1,500,0,0,150,3,150,3,2.66971e+06,148,2615,150,149
43,1,500,0,0,150,3,150,3,2.62438e+06,148,2569.67,150,149
44,1,500,0,0,150,3,150,3,2.45838e+06,148,2403.67,150,149
45,1,500,0,0,150,3,150,3,2.40538e+06,148,2350.67,150,149
46,1,500,0,0,150,3,150,3,2.53404e+06,148,2479.33,150,149
47,1,500,0,0,150,3,150,3,2.43838e+06,148,2383.67,150,149
